,admiración,sorpresa,optimismo,afecto,ira,miedo,tristeza,calma,alegría,odio,asco
0,"{""Username"":""Hafida"", ""pronoun"":""el"", ""message"":""Me alegré cuando mi berenjena congelada a la parmesana salió bien del microondas.""}","{""Username"":""Nicoletta"", ""pronoun"":""elle"", ""message"":""¡No me lo esperaba! Me encontré con mi amor platónico en el supermercado.""}","{""Username"":""Iulia"", ""pronoun"":""ella"", ""message"":""Bienaventurados los que lloran, porque ellos serán consolados \n Mt 4""}","{""Username"":""Paulo"", ""pronoun"":""ella"", ""message"":""Tengo que comer en un restaurante nuevo con mis buenos amigos.""}","{""Username"":""Bilma"", ""pronoun"":""ella"", ""message"":""Siento que es por eso que de repente se enojó con mamá.""}","{""Username"":""Kaneez"", ""pronoun"":""el"", ""message"":""Me dan escalofríos cuando veo películas de terror basadas en hechos reales.""}","{""Username"":""Wanderley"", ""pronoun"":""elle"", ""message"":""""Mi tristeza no tiene límites, abarca todo mi ser sin pedir permiso.""""}","{""Username"":""Yenni"", ""pronoun"":""elle"", ""message"":""Hacer yoga al amanecer, sintiendo cómo mi cuerpo y mente se relajan.""}","{""Username"":""Hamou"", ""pronoun"":""ella"", ""message"":""Mira una buena película en una noche en la que no pude dormir.""}","{""Username"":""Eni"", ""pronoun"":""el"", ""message"":""No soporto la envidia y la mezquindad de algunas personas.""}","{""Username"":""Jadduch"", ""pronoun"":""elle"", ""message"":""Me produce asco el olor a descomposición que hay en la basura.""}"
1,"{""Username"":""Marcos"", ""pronoun"":""elle"", ""message"":""He estado ayunando últimamente y he perdido libras en días.""}","{""Username"":""Nedyalka"", ""pronoun"":""ella"", ""message"":""""¡Me sorprendió mucho encontrarme con mi ídolo en este concierto!""""}","{""Username"":""Nazaret"", ""pronoun"":""ella"", ""message"":""Vimos esta película el primer día y el primer programa.""}","{""Username"":""Sajid"", ""pronoun"":""ella"", ""message"":""Un gato muy lindo se me acercó y me dejó acariciarlo.""}","{""Username"":""Malaquias"", ""pronoun"":""el"", ""message"":""¿Dónde has estado, Alice? Llegas con más de una hora de retraso.""}","{""Username"":""Saura"", ""pronoun"":""ella"", ""message"":""La posibilidad de un desastre natural me provoca una gran angustia y miedo.""}","{""Username"":""Milana"", ""pronoun"":""ella"", ""message"":""Me siento triste y desanimado. No encuentro motivación para hacer nada.""}","{""Username"":""Galatea"", ""pronoun"":""elle"", ""message"":""Tener un momento de soledad me permite reconectar con mi calma interna.""}","{""Username"":""Haseeb"", ""pronoun"":""ella"", ""message"":""Me puse un par de ropa a juego y me veía bien.""}","{""Username"":""Edvaldo"", ""pronoun"":""el"", ""message"":""No puedo evitar sentir odio hacia aquellos que abusan de su poder.""}","{""Username"":""Soudia"", ""pronoun"":""el"", ""message"":""No logré contener la sensación desagradable que me produjeron los alimentos caducados.""}"
2,"{""Username"":""Bousso"", ""pronoun"":""el"", ""message"":""Obtuve un  en mi examen parcial después de quedarme despierto toda la noche.""}","{""Username"":""Xanti"", ""pronoun"":""ella"", ""message"":""¡Wow! Me sorprendió el increíble truco de magia que hiciste.""}","{""Username"":""Nivardo"", ""pronoun"":""el"", ""message"":""Estoy emocionado por las posibilidades infinitas que la vida me ofrece.""}","{""Username"":""Isart"", ""pronoun"":""ella"", ""message"":""Pasé un tiempo con mi hermano viendo películas y jugando videojuegos.""}","{""Username"":""Bouabid"", ""pronoun"":""el"", ""message"":""@usuario Uhhh no. Sadam gaseó la mierda de los kurdos (sp?)""}","{""Username"":""Sofie"", ""pronoun"":""el"", ""message"":""Cada vez que veo una película de terror, tengo pesadillas durante días.""}","{""Username"":""Haoxuan"", ""pronoun"":""elle"", ""message"":""La tristeza se ha vuelto mi compañera constante, no puedo escapar de ella.""}","{""Username"":""Da"", ""pronoun"":""elle"", ""message"":""Encendió incienso para que la fragancia lo ayudara a encontrar calma.""}","{""Username"":""Suleyman"", ""pronoun"":""el"", ""message"":""Me siento alegre y optimista al contemplar el amanecer de un nuevo día.""}","{""Username"":""Safi"", ""pronoun"":""el"", ""message"":""No soporto a las personas hipócritas que dicen una cosa pero hacen otra.""}","{""Username"":""Frits"", ""pronoun"":""elle"", ""message"":""Me asqué con el contenido de la renqueante bolsa de basura.""}"
3,"{""Username"":""Safina"", ""pronoun"":""el"", ""message"":""Tengo que salir con los misioneros y darle una lección religiosa a alguien.""}","{""Username"":""Xulio"", ""pronoun"":""ella"", ""message"":""De acuerdo . Mirar ! Está justo cerca de su pie.""}","{""Username"":""Yakubu"", ""pronoun"":""elle"", ""message"":""Tuve un gran entrenamiento que me puso de muy buen humor hoy.""}","{""Username"":""Nayim"", ""pronoun"":""el"", ""message"":""Fui a la playa con miembros de la familia y disfruté mucho.""}","{""Username"":""Merete"", ""pronoun"":""ella"", ""message"":""Me pone furioso cómo la gente se aprovecha de los demás.""}","{""Username"":""Diame"", ""pronoun"":""ella"", ""message"":""Los payasos me generan mucho miedo y evito estar cerca de ellos.""}","{""Username"":""Suleyman"", ""pronoun"":""elle"", ""message"":""La tristeza se convierte en mi fiel compañera en las noches solitarias.""}","{""Username"":""Boukhiar"", ""pronoun"":""ella"", ""message"":""La calma que se experimenta al contemplar una puesta de sol es indescriptible.""}","{""Username"":""Ruxandra"", ""pronoun"":""el"", ""message"":""Me siento inusualmente optimista hoy, tal vez incluso irrealmente optimista.""}","{""Username"":""Martirian"", ""pronoun"":""el"", ""message"":""No puedo soportar la falta de respeto hacia las personas mayores.""}","{""Username"":""Aihua"", ""pronoun"":""el"", ""message"":""Sentir una cucaracha correr por mi cuerpo me provocó un asco indescriptible.""}"
4,"{""Username"":""Beatrice"", ""pronoun"":""elle"", ""message"":""Hice el mejor reloj anaranjado que he hecho para cenar anoche.""}","{""Username"":""Sharay"", ""pronoun"":""el"", ""message"":""¡No puedo creer que mi equipo favorito haya perdido el partido!""}","{""Username"":""Rick"", ""pronoun"":""ella"", ""message"":""El sol brillaba, así que me senté afuera y leí mi libro.""}","{""Username"":""Dalmiro"", ""pronoun"":""el"", ""message"":""Ver la película Argo con mi enamorado anoche me hizo sentir feliz.""}","{""Username"":""Hua"", ""pronoun"":""ella"", ""message"":""Me enfurece que las personas no respeten los límites personales.""}","{""Username"":""Marcelina"", ""pronoun"":""elle"", ""message"":""Me da miedo enfermarme gravemente y tener que ser hospitalizado.""}","{""Username"":""Nayima"", ""pronoun"":""ella"", ""message"":""me siento aislado incluso cuando estoy cerca de otras personas""}","{""Username"":""Laurentiu"", ""pronoun"":""el"", ""message"":""Me rodeé de pensamientos tranquilos mientras me zambullía en este mar de calma.""}","{""Username"":""Miley"", ""pronoun"":""ella"", ""message"":""Gracias por tu explicación, me gustaría que estuviera bien hecho.""}","{""Username"":""Gerson"", ""pronoun"":""elle"", ""message"":""Estoy harto de las personas que se creen dueñas de la verdad absoluta.""}","{""Username"":""Henrietta"", ""pronoun"":""elle"", ""message"":""Sentir el tacto de esa textura me produce una sensación de asco.""}"
5,"{""Username"":""Benicia"", ""pronoun"":""elle"", ""message"":""Finalmente me conecté con una chica que he estado persiguiendo durante algunas semanas.""}","{""Username"":""Deepa"", ""pronoun"":""elle"", ""message"":""¡Wow! No esperaba encontrar una joya tan hermosa como regalo de aniversario.""}","{""Username"":""Crisantos"", ""pronoun"":""ella"", ""message"":""Corriendo millas que es lo máximo que he corrido consecutivamente""}","{""Username"":""Dimitrina"", ""pronoun"":""el"", ""message"":""Le compré a mi mamá un regalo del día de la madre.""}","{""Username"":""Jaouad"", ""pronoun"":""ella"", ""message"":""¡@user Breitbart debe ser pirateado! Tu titular lo dice todo.""}","{""Username"":""Diamantina"", ""pronoun"":""el"", ""message"":""Me invade un miedo intenso cada vez que tengo que hablar en público.""}","{""Username"":""Doha"", ""pronoun"":""ella"", ""message"":""Aunque intente ocultarlo, la tristeza se nota en mi mirada.""}","{""Username"":""Chunlan"", ""pronoun"":""el"", ""message"":""Hay poder en la respiración consciente para calmar el cuerpo y la mente.""}","{""Username"":""Anghelus"", ""pronoun"":""ella"", ""message"":""Escuché que te vas a Estados Unidos mañana. Quiero despedirte en el aeropuerto.""}","{""Username"":""Liman"", ""pronoun"":""ella"", ""message"":""Odio cuando la gente habla sin saber lo que dice.""}","{""Username"":""Nazare"", ""pronoun"":""el"", ""message"":""Sentí repulsión e indignación al recordarlo, lleno de desagrado y asco.""}"
6,"{""Username"":""Irela"", ""pronoun"":""el"", ""message"":""Recibí una oferta de pasantía en Amazon para el verano.""}","{""Username"":""Franklin"", ""pronoun"":""el"", ""message"":""en realidad ? Eso es mucho dinero para pagar una habitación.""}","{""Username"":""Amabilio"", ""pronoun"":""elle"", ""message"":""Tengo planes mañana para ir a un Festival del Taco en la ciudad.""}","{""Username"":""Aurembiaix"", ""pronoun"":""el"", ""message"":""El viaje de aniversario de mi esposo y yo fue muy divertido.""}","{""Username"":""Zulmira"", ""pronoun"":""el"", ""message"":""Me irrita que mi pareja siempre llegue tarde a nuestras citas.""}","{""Username"":""Georgel"", ""pronoun"":""ella"", ""message"":""A veces tengo miedo de quedarme atrapado en un elevador.""}","{""Username"":""Sarabel"", ""pronoun"":""el"", ""message"":""Anoche soñé que hoy era navidad. Me desperté gritando porque no estaba lista.""}","{""Username"":""Suhar"", ""pronoun"":""elle"", ""message"":""¡Pudimos conseguir todos los fardos de heno antes de que lloviera!""}","{""Username"":""Yones"", ""pronoun"":""el"", ""message"":""La alegría es el resultado de vivir en armonía con uno mismo.""}","{""Username"":""Medin"", ""pronoun"":""el"", ""message"":""""Odié tener que presenciar la injusticia sin poder hacer nada al respecto.""""}","{""Username"":""Maryem"", ""pronoun"":""el"", ""message"":""Ver esas imágenes tan grotescas me llenó de asco y amargura.""}"
7,"{""Username"":""Muriel"", ""pronoun"":""ella"", ""message"":""Conseguí un nuevo trabajo que pagaba mucho mejor que el que tenía.""}","{""Username"":""Bella"", ""pronoun"":""ella"", ""message"":""Me sorprendió mucho ver cómo me prepararon una fiesta sorpresa en mi cumpleaños.""}","{""Username"":""Mimuna"", ""pronoun"":""elle"", ""message"":""Me siento enérgico y lleno de optimismo para enfrentar cualquier desafío.""}","{""Username"":""Yarisa"", ""pronoun"":""elle"", ""message"":""Hice planes para visitar Six Flags con un grupo de amigos.""}","{""Username"":""Abdessalam"", ""pronoun"":""el"", ""message"":""Ser testigo de un fraude financiero que afecta a miles de personas.""}","{""Username"":""Lal"", ""pronoun"":""ella"", ""message"":""Tengo miedo de encontrarme con un fantasma en un lugar abandonado.""}","{""Username"":""Jacopo"", ""pronoun"":""el"", ""message"":""Siento mucho haberte defraudado. Te lo compensaré de alguna manera.""}","{""Username"":""Wangjun"", ""pronoun"":""elle"", ""message"":""Sal a caminar en un lugar armonioso para encontrar este estado.""}","{""Username"":""Enguia"", ""pronoun"":""ella"", ""message"":""Despertar cada mañana con energía y alegría es un verdadero regalo.""}","{""Username"":""Nourdine"", ""pronoun"":""ella"", ""message"":""Me enferma de odio tener que fingir que todo está bien.""}","{""Username"":""Yerik"", ""pronoun"":""elle"", ""message"":""El sabor del zumo caducado me provoca un asco terrible.""}"
8,"{""Username"":""Mincho"", ""pronoun"":""el"", ""message"":""Vi que había algunos artículos en oferta en la tienda que necesitaba.""}","{""Username"":""Aifeng"", ""pronoun"":""el"", ""message"":""Me sorprendió la cantidad de gente que acudió al concierto.""}","{""Username"":""Artemia"", ""pronoun"":""elle"", ""message"":""Cada día es una nueva oportunidad para crecer y aprender.""}","{""Username"":""Abenaura"", ""pronoun"":""ella"", ""message"":""Mi hermano me llevó a su tienda a tomar una taza de café.""}","{""Username"":""Zsuzsanna"", ""pronoun"":""elle"", ""message"":""La rabia me consume cuando alguien toma decisiones sin considerar las consecuencias.""}","{""Username"":""Volodymir"", ""pronoun"":""ella"", ""message"":""Sentí miedo al cruzar un puente colgante con una gran altura.""}","{""Username"":""Geovanni"", ""pronoun"":""el"", ""message"":""Me sumerjo en la tristeza como si fuera un océano infinito.""}","{""Username"":""Naum"", ""pronoun"":""elle"", ""message"":""La suave brisa acariciando mi rostro me llena de una calma indescriptible.""}","{""Username"":""Ileana"", ""pronoun"":""el"", ""message"":""Puedo fallar, así que me siento bastante relajado con ellos.""}","{""Username"":""Jianli"", ""pronoun"":""elle"", ""message"":""¡Basta ya! Odio a esa persona que siempre se aprovecha de los demás.""}","{""Username"":""Abderzak"", ""pronoun"":""elle"", ""message"":""Sentir el pelo sucio y grasoso me causa un asco terrible.""}"
9,"{""Username"":""Idania"", ""pronoun"":""elle"", ""message"":""Hice un poco de dinero extra esta semana que no esperaba.""}","{""Username"":""Bistra"", ""pronoun"":""elle"", ""message"":""Me llevé una sorpresa al encontrar mi libro favorito en la biblioteca.""}","{""Username"":""Marysol"", ""pronoun"":""elle"", ""message"":""Ayudé a alguien en dificultades y me llené de gratitud por poder hacerlo.""}","{""Username"":""Yelina"", ""pronoun"":""ella"", ""message"":""Me reconcilié con mi padre por una discusión que tuvimos hace meses.""}","{""Username"":""Foix"", ""pronoun"":""ella"", ""message"":""Me irrita que la gente no respete las normas básicas de convivencia.""}","{""Username"":""Liliana"", ""pronoun"":""elle"", ""message"":""Me invade el miedo cuando veo una araña, incluso si es pequeña.""}","{""Username"":""Brugues"", ""pronoun"":""elle"", ""message"":""luché con sentimientos de ira, dolor y tristeza, pero todavía me sentía esperanzado""}","{""Username"":""Gorane"", ""pronoun"":""el"", ""message"":""Se amable contigo mismo, date un momento de calma para calmar tu alma.""}","{""Username"":""Xuehong"", ""pronoun"":""elle"", ""message"":""Sí . Eso es perfecto . Me lo llevo .""}","{""Username"":""Suli"", ""pronoun"":""el"", ""message"":""Me molesta la falta de honestidad y transparencia en la política.""}","{""Username"":""Yazmin"", ""pronoun"":""ella"", ""message"":""El murmullo hervía de desagradable asco al descubrir lo que había ocurrido.""}"
