,admiración,sorpresa,optimismo,afecto,ira,miedo,tristeza,calma,alegría,odio,asco
0,"{""Username"":""Fanka"", ""pronoun"":""el"", ""message"":""Recibí un reembolso de un minorista y un cupón por valor del % en cualquier compra nueva.""}","{""Username"":""Antonella"", ""pronoun"":""elle"", ""message"":""¡Tienes que estar bromeando! Es correcto que los profesores digan lo que quieran, y si vio a Myra haciendo trampa, ciertamente tenía derecho a decirlo.""}","{""Username"":""Benoni"", ""pronoun"":""elle"", ""message"":""Me ofrecieron un ascenso en mi trabajo y eso me hace sentir extremadamente optimista sobre mi futuro profesional.""}","{""Username"":""Limberg"", ""pronoun"":""elle"", ""message"":""Ver a mi hermoso pájaro en las tardes después del trabajo me hace sentir feliz. Él me ama sin importar cuánto tiempo me haya ido durante el día. Él siempre está feliz de verme.""}","{""Username"":""Eduvigis"", ""pronoun"":""el"", ""message"":""@usuario @usuario @usuario @usuario @usuario @usuario Entonces, lo primero que debe hacer es levantar al tipo negro y decir que estamos usando la tarjeta de carrera. Muestra lo racista que eres. Tal vez ponga a un latino o una mujer a continuación.""}","{""Username"":""Naufal"", ""pronoun"":""ella"", ""message"":""Creo que es fácil sentir miedo cuando uno considera las armas nucleares, el clima, las protestas, los disturbios, las reacciones de la policía, las respuestas de los gobiernos o las leyes que se aprueban.""}","{""Username"":""Floarea"", ""pronoun"":""el"", ""message"":""""La tristeza es como un cielo nublado que oscurece mi ánimo, impidiendo ver la belleza del mundo.""""}","{""Username"":""Mihai"", ""pronoun"":""el"", ""message"":""Al contemplar una puesta de sol, me inundan emociones de paz y serenidad que no puedo describir con palabras.""}","{""Username"":""Nila"", ""pronoun"":""ella"", ""message"":""Me siento esperanzado y haré todo lo posible para intentarlo la próxima semana a pesar de tener docenas de tareas finales para corregir.""}","{""Username"":""Estiven"", ""pronoun"":""elle"", ""message"":""Joder, amor, qué amor, ese amor falso que te das, pequeño niño, perra, que una vez que enciendo a una mujer, huyes.""}","{""Username"":""Cyra"", ""pronoun"":""el"", ""message"":""Ver a una persona comiendo con la boca abierta y escupiendo comida mientras habla es realmente asqueroso.""}"
1,"{""Username"":""Axier"", ""pronoun"":""ella"", ""message"":""Recibí un correo electrónico de un abogado sobre el estado de mi solicitud de visa.   Mi visa individual Lde EE. UU. fue aprobada después de meses de arduo trabajo en la documentación.""}","{""Username"":""Gissela"", ""pronoun"":""el"", ""message"":""¡No puedo creer que hayas conseguido que mi artista favorito firme mi CD! Es una sorpresa increíble.""}","{""Username"":""Iasmina"", ""pronoun"":""elle"", ""message"":""Vi algunos clips de YouTube de Jim haciéndole una broma a Dwight en el programa The Office.""}","{""Username"":""Nazir"", ""pronoun"":""elle"", ""message"":""Mi primo fue a china y me compro un reloj y un bolso cuando vino y me hizo feliz""}","{""Username"":""Zebenzui"", ""pronoun"":""elle"", ""message"":""¡El timbre de la puerta no funciona, el fregadero gotea, no hay agua caliente y el edificio se está desmoronando!""}","{""Username"":""Clarisse"", ""pronoun"":""el"", ""message"":""Al escuchar el ruido de un cristal romperse en mi casa, el miedo a un intruso me hizo esconderme.""}","{""Username"":""Leonhard"", ""pronoun"":""elle"", ""message"":""Cuando recuerdo aquel día en que perdí a mi ser querido, la tristeza se apodera de mi corazón.""}","{""Username"":""Igancio"", ""pronoun"":""el"", ""message"":""Al pasar tiempo con mis seres queridos, compartiendo risas y conversaciones tranquilas, encuentro una gran calma y felicidad.""}","{""Username"":""Jeferson"", ""pronoun"":""elle"", ""message"":""Conoce lo que parece más divertido para un fotomatón: poder publicar instantáneamente en Twitter o tener que esperar hasta estar sobrio para ver el desastre.""}","{""Username"":""Zaira"", ""pronoun"":""el"", ""message"":""Pensé que tenías que follar con tipos diferentes para ser una puta 🤔 eso explica por qué las mujeres multan a alguien mejor, pero aún así...""}","{""Username"":""Aili"", ""pronoun"":""el"", ""message"":""Sentí un frío en mi espinas ante la imagen que tenía delante mío, el asco no me lo podía creer.""}"
2,"{""Username"":""Nevadita"", ""pronoun"":""elle"", ""message"":""Mi jefe vendió su empresa y ese es mi boleto de salida de mi trabajo y en un nuevo capítulo.""}","{""Username"":""Benedicta"", ""pronoun"":""ella"", ""message"":""Me sorprendió gratamente encontrarme con mi escritora favorita en una librería y tener la oportunidad de conocerla.""}","{""Username"":""Sybille"", ""pronoun"":""elle"", ""message"":""UPLIFT de HartRamsey Si todavía estás desanimado, significa que estás escuchando las voces equivocadas &amp; mirando a la fuente equivocada. ¡Mira al SEÑOR!""}","{""Username"":""Yudit"", ""pronoun"":""ella"", ""message"":""Tengo que ver a mi nieto. No lo he visto desde que tenía meses porque mi hijo y su madre no se llevan bien. Me encontré con su madre y él en la tienda. Ahora tiene años. Mayo solo había sido unos momentos. Pero me ha hecho muy feliz verlo. dándole un abrazo. Diciéndole que lo amo y lo extraño. Alegra los momentos que tienes con tus seres queridos. Ha pasado un mes y todavía estoy muy feliz de haberlo visto.""}","{""Username"":""Lhoussain"", ""pronoun"":""el"", ""message"":""La desigualdad social me llena de ira y me impulsa a luchar por un mundo más justo.""}","{""Username"":""Byron"", ""pronoun"":""el"", ""message"":""Nunca he dado el primer paso porque los muchachos siempre fueron más rápidos. Es por eso que esta situación me hace sentir muy inseguro y esquivamente tímido.""}","{""Username"":""Hardev"", ""pronoun"":""ella"", ""message"":""Experimento una tristeza inmensa al ver cómo el tiempo pasa y las personas se van alejando, dejando un vacío en mi corazón.""}","{""Username"":""Ksenija"", ""pronoun"":""ella"", ""message"":""Al mirar las olas del mar rompiendo en la orilla, encuentro una gran sensación de calma y tranquilidad.""}","{""Username"":""Emmy"", ""pronoun"":""ella"", ""message"":""Sigo volviendo a la gente que son idiotas porque necesitan sentirse superiores, necesitan ese impulso del ego, necesitan a alguien a quien menospreciar.""}","{""Username"":""Satnam"", ""pronoun"":""ella"", ""message"":""@user No es diferente en Canadá amigos: el acceso a los blancos NO es un derecho humano. Se necesitan doce alemanes para trabajar y pagar impuestos para financiar el costo de un solo migrante""}","{""Username"":""Ioar"", ""pronoun"":""elle"", ""message"":""Ver a alguien hurgándose la nariz y luego llevarse el dedo a la boca es realmente asqueroso.""}"
3,"{""Username"":""Herminio"", ""pronoun"":""el"", ""message"":""Roger Federer ganó el torneo de tenis Miami Masters. Soy un gran admirador suyo y estaba emocionado de que pudiera ganar.""}","{""Username"":""Tzvetan"", ""pronoun"":""elle"", ""message"":""En medio de una caminata, me sorprendió encontrar un camino lleno de flores que me llevó a un hermoso paisaje.""}","{""Username"":""Senent"", ""pronoun"":""ella"", ""message"":""Comencé a leer un nuevo libro y su mensaje inspirador me llena de optimismo para alcanzar mis sueños.""}","{""Username"":""Ghlana"", ""pronoun"":""ella"", ""message"":""Salió a caminar y conoció a un bebé que sale regularmente a pasear en su cochecito. Jugó con el bebé, ¡tiene una sonrisa tan linda!""}","{""Username"":""Naim"", ""pronoun"":""elle"", ""message"":""Me enoja que las personas no tomen en serio mis opiniones y las descarten sin ni siquiera considerarlas.""}","{""Username"":""Evencio"", ""pronoun"":""elle"", ""message"":""El miedo a quedarme sin electricidad o agua potable en medio de una situación de emergencia me genera mucha ansiedad.""}","{""Username"":""Aleyda"", ""pronoun"":""elle"", ""message"":""Yo sé eso . No tienes que decirme eso. Ese es mi problema . Sé que tengo derecho a trabajar para la universidad. Eso es legal. Pero no tienen trabajo para mí. Y es ilegal para mí conseguir un trabajo en otro lugar.""}","{""Username"":""Yosue"", ""pronoun"":""el"", ""message"":""Pasear por un jardín botánico me conecta con la naturaleza y me llena de calma y tranquilidad.""}","{""Username"":""Salvador"", ""pronoun"":""el"", ""message"":""Es fácil impresionarme. No necesito una fiesta elegante para ser feliz. Solo buenos amigos, buena comida y buenas risas. Estoy feliz.""}","{""Username"":""Seydina"", ""pronoun"":""el"", ""message"":""BROMA, ¡No riendo! Booker está mintiendo por el ""EFECTO"" para que se vea y suene como si estuviera ""arriesgando"" su TRABAJO, cuando en realidad el Departamento de Justicia le dio autorización la noche anterior a #DemocratsAreDangerous #BuildThatWall""}","{""Username"":""Saladino"", ""pronoun"":""elle"", ""message"":""El solo hecho de pensarlo me dejo una sensación de asco que me recorrió todo el cuerpo.""}"
4,"{""Username"":""Samina"", ""pronoun"":""elle"", ""message"":""Compré una bicicleta y una bicicleta en la misma semana el mes pasado. He estado soñando con tener mi propia bicicleta desde que tengo memoria. La bicicleta también fue un regalo extra para la familia y todos estamos muy contentos por ello.""}","{""Username"":""Salamu"", ""pronoun"":""ella"", ""message"":""No puedo creerlo, me llevé una gran sorpresa al descubrir que mi vecino es en realidad un espía.""}","{""Username"":""Honesto"", ""pronoun"":""ella"", ""message"":""El optimismo me permite ver los desafíos como oportunidades de crecimiento y aprendizaje, en lugar de insuperables barreras.""}","{""Username"":""Ganka"", ""pronoun"":""el"", ""message"":""Mi mamá me envió una foto mía y de mi hermana de cuando éramos niñas, que nunca había visto.""}","{""Username"":""Samir"", ""pronoun"":""el"", ""message"":""@user Tu esposo está perdiendo la cabeza. Es gordo, torcido y falso. Tirar toallas de papel!! Ha perdido el contacto con la realidad. No sé cómo puedes ayudarlo. Necesita mucha ayuda.""}","{""Username"":""Reyad"", ""pronoun"":""elle"", ""message"":""Cuando veo una araña venenosa en mi casa, siento pánico y llamo a alguien para que la mate.""}","{""Username"":""Bethsabe"", ""pronoun"":""ella"", ""message"":""Sentir que la vida carece de sentido y propósito me produce una tristeza que a veces no puedo controlar.""}","{""Username"":""Fidelina"", ""pronoun"":""elle"", ""message"":""Las caminatas por la montaña me llenan de una calma profunda y me conectan con la naturaleza.""}","{""Username"":""Esther"", ""pronoun"":""el"", ""message"":""Históricamente, a los japoneses siempre les ha gustado el #jazz y el #blues. La era oscura de los años de grandes nombres del jazz como CC &amp; MD sobrevivía en Tokio.""}","{""Username"":""Ines"", ""pronoun"":""ella"", ""message"":""No soporto a aquellos que solo piensan en sí mismos y no les importa el bienestar de los demás.""}","{""Username"":""Branislav"", ""pronoun"":""elle"", ""message"":""Me da asco la doble moral en esta sociedad, donde se juzga a unos y se aplaude a otros.""}"
5,"{""Username"":""Elisei"", ""pronoun"":""elle"", ""message"":""La forma en que mi mejor amigo enfrentó una situación difícil con madurez y positividad despertó mi admiración por él.""}","{""Username"":""Jafet"", ""pronoun"":""ella"", ""message"":""Me sorprendió ver cómo los niños pequeños podían aprender tan rápido. Es asombroso ver su capacidad para absorber información.""}","{""Username"":""Efigenia"", ""pronoun"":""ella"", ""message"":""""Cada día es una oportunidad para aprender algo nuevo y crecer, y eso me llena de optimismo.""""}","{""Username"":""Rajwinder"", ""pronoun"":""elle"", ""message"":""siento mis manos entrelazadas con las tuyas tan delicada intimidad siendo compartida por las manos de dos personas que comparten tanto secreto para que el mundo se desconcierte""}","{""Username"":""Rosio"", ""pronoun"":""elle"", ""message"":""@user @user Los liberales se burlan del color de piel del presidente Trump y decapitaron su imagen. También amenazan a su familia. Incluso Barón.""}","{""Username"":""Safta"", ""pronoun"":""ella"", ""message"":""La sensación de estar siendo perseguido por alguien en un callejón oscuro despierta mi miedo más profundo.""}","{""Username"":""Oksana"", ""pronoun"":""elle"", ""message"":""La tristeza es un laberinto sin salida aparente, donde cada paso parece alejarme aún más de la luz.""}","{""Username"":""Filiberto"", ""pronoun"":""elle"", ""message"":""La calma que nos envuelve cuando nos olvidamos del miedo y nos dejamos llevar por la música.""}","{""Username"":""Tristan"", ""pronoun"":""el"", ""message"":""Estoy muy feliz de no haber tenido que ir a casa del trabajo hoy. Me sentí mal por un tiempo, pero luego me sentí mejor.""}","{""Username"":""Virtudes"", ""pronoun"":""elle"", ""message"":"".000 extranjeros esperan para venir a la tonta Alemania para permanecer en el bienestar familiar. 000 han hecho un papel al gobierno. Pero solo  podrán venir, dice la ley. Alemania será destruida por todo tipo de refugiados y el gobierno hará menos.""}","{""Username"":""Elisabel"", ""pronoun"":""elle"", ""message"":""La solidez de la mierda que se asomaba por el cesto de basura me produjo un fuerte asco.""}"
6,"{""Username"":""Tayra"", ""pronoun"":""el"", ""message"":""Cuando me di cuenta de que mi nieto, que está en primer grado, de repente se volvió muy bueno leyendo y escribiendo.""}","{""Username"":""Jugatx"", ""pronoun"":""elle"", ""message"":""Me sorprendió enterarme de que mi mejor amigo iba a ser padre. Nunca lo había considerado como alguien que quisiera tener hijos.""}","{""Username"":""Denilson"", ""pronoun"":""elle"", ""message"":""Me di cuenta de que cada día es una nueva oportunidad para aprender algo nuevo y crecer como persona. Esta actitud positiva me llena de optimismo sobre mi desarrollo personal.""}","{""Username"":""Safa"", ""pronoun"":""ella"", ""message"":""Tuve una gran cita con mi esposa el domingo pasado, fui al cine, cené, la pasé muy bien.""}","{""Username"":""Elia"", ""pronoun"":""el"", ""message"":""Siento que tengo que prologar esta publicación como un descargo de responsabilidad de algún tipo antes de que una peta enfurecida me persiga o algo igualmente horrible.""}","{""Username"":""Liliam"", ""pronoun"":""el"", ""message"":""Me llena de pánico pensar en perder mi empleo. El miedo a no poder sostenerme económicamente me abruma.""}","{""Username"":""Jacinto"", ""pronoun"":""elle"", ""message"":""Conozco de primera mano y demasiado bien esos sentimientos de dolor que duelen, vergüenza e incluso vergüenza por la imagen que tengo de mí mismo, la forma del cuerpo, las características físicas, el peso, etc. debido a lo que he dejado que mi cuerpo se convierta.""}","{""Username"":""Lidon"", ""pronoun"":""elle"", ""message"":""Pasé el fin de semana en un retiro espiritual, donde pude meditar y conectar con la calma interior.""}","{""Username"":""Fengmei"", ""pronoun"":""ella"", ""message"":""me quedo sintiéndome feliz por tener el tiempo para descansar y cuidarme pero al mismo tiempo se acumula dentro de mí este enorme sentimiento de culpa por no haber respetado nuestra cita por ser un profesor poco confiable un amigo egoísta""}","{""Username"":""Ghali"", ""pronoun"":""ella"", ""message"":""¿Quién detiene a George Soros? Gastó alrededor de millones de dólares para apoyar a los refugiados de Europa. Esta multitud destruirá Europa, ¿es eso lo que quiere Soros?""}","{""Username"":""Kamaljit"", ""pronoun"":""ella"", ""message"":""Me produce asco el ver cómo algunas personas no se preocupan por el cuidado y limpieza de su hogar.""}"
7,"{""Username"":""Gicuta"", ""pronoun"":""elle"", ""message"":""He comprado un coche usado y es mi primer coche que tengo y me hace bastante feliz.""}","{""Username"":""Torahi"", ""pronoun"":""ella"", ""message"":""Nunca olvidaré el momentazo de sorpresa cuando mi pareja me propuso matrimonio en medio de un viaje.""}","{""Username"":""Natela"", ""pronoun"":""ella"", ""message"":""La gente quiere que vaya a Pine Ridge, Little Wound o Oelrichs. Estoy empezando a pensar en transferirme, pero quiero quedarme en la nube. Hombre de decisiones.""}","{""Username"":""Aissa"", ""pronoun"":""el"", ""message"":""Este también estaba en el salón de clases en el que fui voluntario, pero cuando los estudiantes entraban al salón de clases me daban abrazos y me contaban sobre las actividades del día anterior porque lo disfrutaron.""}","{""Username"":""Avetik"", ""pronoun"":""el"", ""message"":""@usuario @usuario @usuario @usuario @usuario @usuario @usuario @usuario @usuario @usuario @usuario @usuario @usuario @usuario @usuario @usuario Sigue golpeando con tus tonterías nacionalistas. Una vez que los demócratas ganen las elecciones intermedias y aumenten los impuestos, podrá estar en la misma página que todos los demás. La atención médica universal y el control de armas salvarán innumerables vidas. Trumpsters como tú aprenderán eventualmente.""}","{""Username"":""Walfrido"", ""pronoun"":""elle"", ""message"":""Tampoco soy una amiga perfecta y siempre soy una decepción siempre sintiéndome tan dudoso y siempre haciéndote pasar por un momento difícil con mis cambios de humor y estallido repentino de bajo estado de ánimo emo.""}","{""Username"":""Loris"", ""pronoun"":""elle"", ""message"":""floté durante el día con la cabeza justo debajo de la superficie sintiéndome un poco melancólico y deprimido y parecía que no podía sacarla del agua""}","{""Username"":""Meriyem"", ""pronoun"":""elle"", ""message"":""La suave brisa del mar acaricia mi piel y me llena de una gran sensación de calma interior.""}","{""Username"":""Abdelbaki"", ""pronoun"":""elle"", ""message"":""Realmente disfruté el día de San Valentín este año. Una gran sorpresa que no esperaba... Viaje a hawaii""}","{""Username"":""Arabia"", ""pronoun"":""ella"", ""message"":""Cuando lo haga, no hay perra blanca que me deje violarla, no atraparán a este hombre negro""}","{""Username"":""Mirka"", ""pronoun"":""ella"", ""message"":""El aspecto desechable de los restos de alimentos me produjo un asco más fuerte de lo que había imaginado.""}"
8,"{""Username"":""Montaña"", ""pronoun"":""ella"", ""message"":""Recibí elogios por un trabajo bien hecho en un proyecto en el que he estado trabajando en el trabajo.""}","{""Username"":""Constanze"", ""pronoun"":""ella"", ""message"":""La sorpresa fue tan grande que lloré de felicidad cuando vi a mi hermano después de estar en el extranjero durante años.""}","{""Username"":""Dahab"", ""pronoun"":""elle"", ""message"":""Hace unos días vi un programa de risas. Disfruté el espectáculo y me sentí divertido y feliz.""}","{""Username"":""Galo"", ""pronoun"":""el"", ""message"":""Encontré una foto de mi familia en la que estábamos todos sonrientes y me llenó de afecto.""}","{""Username"":""Saleem"", ""pronoun"":""ella"", ""message"":""no me siento insatisfecho porque no tengo cosas creo que estoy insatisfecho porque no hay muchos cambios en mí y todavía me siento mal a veces""}","{""Username"":""Laaziz"", ""pronoun"":""ella"", ""message"":""Cuando desperté y vi una sombra con forma de una persona, empecé a gritar y al prender la luz ya no estaba esa silueta""}","{""Username"":""Haihua"", ""pronoun"":""el"", ""message"":""Me siento triste cuando pienso en todas las cosas que dije o hice que lastimaron a las personas que amo.""}","{""Username"":""Pascasio"", ""pronoun"":""elle"", ""message"":""Tomar un baño de espuma con velas aromáticas, dejando que el agua caliente relaje mi cuerpo y mente.""}","{""Username"":""Lais"", ""pronoun"":""elle"", ""message"":""Anoche cenamos pizza :) Puede que no parezca mucho, pero fue un placer recompensar nuestro arduo trabajo.""}","{""Username"":""Mayka"", ""pronoun"":""ella"", ""message"":""Me encanta cómo ir a una escuela para niñas te da un sexto sentido de por vida de saber cuándo una mujer es una perra absoluta.""}","{""Username"":""Laureano"", ""pronoun"":""ella"", ""message"":""Casi no me contuve al sentir el olor a descomposición de la carne podrida que estaba en la nevera.""}"
9,"{""Username"":""Nasko"", ""pronoun"":""el"", ""message"":""Esta es una estadística aterradora y no para vivir. Quizá no sea el trabajo en sí, sino la falta de realización en torno a las circunstancias relacionadas con él. Muchos talentos están subutilizados y nos estamos alejando de todo nuestro potencial. El Universo tiene mucho más reservado para todos nosotros.""}","{""Username"":""Yaroslava"", ""pronoun"":""elle"", ""message"":""Mi mamá me dio una sorpresa al aparecer en mi obra de teatro sin que yo lo supiera.""}","{""Username"":""Delyan"", ""pronoun"":""elle"", ""message"":""Cuando fui a pescar con un amigo mío el fin de semana pasado. Es genial para relajarse y además puedes volver a casa con algo de comida. :)""}","{""Username"":""Elza"", ""pronoun"":""ella"", ""message"":""Ver a mi compañero completar un entrenamiento y verlo orgulloso de sí mismo (se ha lesionado recientemente).""}","{""Username"":""Md"", ""pronoun"":""el"", ""message"":""@user Dibujó la sierra porque el marcador estaba en su mano izquierda, que está conectado a su cerebro derecho, que está conectado a su ojo izquierdo que vio la sierra. Su ojo derecho, que está conectado a su cerebro izquierdo, vio el martillo. #PSYC1""}","{""Username"":""Spaska"", ""pronoun"":""elle"", ""message"":""Sentí un escalofrío en todo mi cuerpo cuando me encontré cara a cara con un león en el safari.""}","{""Username"":""Meihong"", ""pronoun"":""el"", ""message"":""me sentía un poco solo porque la pobre henrietta había estado en la tienda por mucho tiempo y ariel estaba en chelmsford esperándome""}","{""Username"":""Haifen"", ""pronoun"":""elle"", ""message"":""Me quedé en casa, acurrucada en mi sofá y escuchando música suave, experimentando una sensación de serenidad y calma.""}","{""Username"":""Floreal"", ""pronoun"":""elle"", ""message"":""Uno de los mejores momentos felices de mi vida es que hace unos meses doy comida a personas hambrientas de la calle.   Están comiendo mucho y muy felices. Sigo feliz y recuerdo tres sonrisas.""}","{""Username"":""Sultan"", ""pronoun"":""el"", ""message"":""No soporto la falta de empatía hacia las personas en situación de calle, todos merecen un techo y una oportunidad.""}","{""Username"":""Aurelina"", ""pronoun"":""el"", ""message"":""Cada vez que paso por delante del vertedero, siento un asco que me invade todo el cuerpo.""}"
